idCiudad,Ciudad,Estado
344,Burien,Washington
345,Greenacres,Florida
346,Lee,Florida
347,Portland,Maine
348,Tucson,Arizona
349,Columbus,Mississippi
350,San Diego,California
351,Vicksburg,Mississippi
352,Kansas City,Kansas
353,Burlington Township,New Jersey
354,Fort Collins,Colorado
355,Saginaw,Michigan
356,Cincinnati (Evanston),Ohio
357,Richland,Michigan
358,Tahlequah,Oklahoma
359,Dunbar,Pennsylvania
360,Lehigh Acres,Florida
361,Richmond,Kentucky
362,Hondo,Texas
363,Huntsville,Texas
364,Des Moines,Iowa
365,Boone County,West Virginia
366,Green Valley,Nevada
367,Natchez,Mississippi
368,Harris County,Texas
369,Odenton,Maryland
370,Gahanna,Ohio
371,Opelousas,Louisiana
372,Hattiesburg,Mississippi
373,Lincoln City,Oregon
374,West Fargo,North Dakota
375,Amory,Mississippi
376,Temple Hills,Maryland
377,Manhattan,New York
378,Sparks,Nevada
379,Taylorville,Illinois
380,Laurel,Mississippi
381,Nesconset,New York
382,Texas City,Texas
383,Houston,Mississippi
384,Spokane,Washington
385,Farmville,North Carolina
386,Decatur,Illinois
387,Bellevue,Washington
388,Walla Walla,Washington
389,Selah,Washington
390,Wilkinson,West Virginia
391,Visalia,California
392,Glendale,Arizona
393,Pasco,Washington
394,Wilsonville,Oregon
395,Santa Fe,New Mexico
396,Troy,New York
397,Franklin,Virginia
398,Planada,California
399,Watauga,Texas
400,Lockwood,Montana
401,Sioux City,Iowa
402,Asheville,North Carolina
403,Yellowstone County,Montana
404,Pitt County,North Carolina
405,Yakima County,Washington
406,Broward,Florida
407,Saint Paul,Minnesota
408,Suffolk,Virginia
409,Henryville,Indiana
410,Campbell County,Tennessee
411,Fairfield,California
412,Berkeley County,South Carolina
413,San Tan Valley,Arizona
414,Prescott,Michigan
415,Midland,Michigan
416,Williamsport,Pennsylvania
417,Jones County,Mississippi
418,Monroe,Louisiana
419,Elizabethtown,North Carolina
420,Cedar Rapids,Iowa
421,Wausau,Wisconsin
422,Defuniak Springs,Florida
423,Valparaiso,Indiana
424,Greenville,Mississippi
425,Suitland,Maryland
426,Leflore,Arkansas
427,Laredo,Texas
428,Allentown,Pennsylvania
429,Rock Falls,Illinois
430,Redding,California
431,College Station,Texas
432,Lawrence,Indiana
433,Rogersville,Tennessee
434,Madison,Alabama
435,Many,Louisiana
436,Parma Heights,Ohio
437,Franklin,Kentucky
438,Mandeville,Louisiana
439,Iberia Parish,Louisiana
440,Pahokee,Florida
441,Murfreesboro,Tennessee
442,Wind Gap,Pennsylvania
443,Richardson,Texas
444,Leavenworth,Kansas
445,Paterson,New Jersey
446,Manville,New Jersey
447,Coventry,Rhode Island
448,Compton,California
449,North Plainfield,New Jersey
450,Kings Mountain,North Carolina
451,New Brunswick,New Jersey
452,Metairie,Louisiana
453,Steubenville,Ohio
454,Orangeburg,South Carolina
455,Eugene,Oregon
456,Cathedral City,California
457,Arvada,Colorado
458,Boyd County,Kentucky
459,Brockton,Massachusetts
460,Bee County,Texas
461,Gainesville,Florida
462,Beaufort,South Carolina
463,Lawrenceville,Georgia
464,Columbia,Maryland
465,Pomona,California
466,Union City,New Jersey
467,Waterloo,Iowa
468,Wilkes-Barre,Pennsylvania
469,Greencastle,Pennsylvania
470,Deer Park,Washington
471,Schenectady,New York
472,Covington,Georgia
473,Bessemer,Alabama
474,Pueblo,Colorado
475,Monroe County,New York
476,Hawaiian Gardens,California
477,Las Vegas,New Mexico
478,Mendon,New York
479,Sierra Vista,Arizona
480,Cape Coral,Florida
481,Orlando (Pine Hills),Florida
482,Pleasantville,New Jersey
483,West Palm Beach,Florida
484,Williamsburg,Virginia
485,Saint Cloud,Florida
486,Hagerstown,Maryland
487,Holyoke,Massachusetts
488,Henrico,Virginia
489,Kalamazoo,Michigan
490,Guilford County,North Carolina
491,San Bernardino,California
492,Cranston,Rhode Island
493,Fort Mill,South Carolina
494,Livingston,Alabama
495,San Leandro,California
496,New Iberia,Louisiana
497,Orange,Texas
498,West New York,New Jersey
499,Willimantic,Connecticut
500,Kirksville,Missouri
501,Bismarck,North Dakota
502,Leicester,Massachusetts
503,Boise,Idaho
504,Greenwood,Mississippi
505,Savannah,Georgia
506,Lothian,Maryland
507,Hacienda Heights,California
508,Bolingbrook,Illinois
509,Rocky Mount,North Carolina
510,Onslow County,North Carolina
511,Albany,New York
512,Mondovi,Wisconsin
513,Carlisle,Pennsylvania
514,Carmel,Indiana
515,Roanoke Rapids,North Carolina
516,Altoona,Iowa
517,Glen Burnie,Maryland
518,Erie,Ohio
519,Boiling Spring Lakes,North Carolina
520,New Castle County,Delaware
521,Kennewick,Washington
522,Santa Maria,California
523,Atlantic City,New Jersey
524,Bryan,Texas
525,Gretna,Louisiana
526,Charlotte,Florida
527,Tacoma,Washington
528,Atlanta (College Park),Georgia
529,Orange,New Jersey
530,Washington,Maryland
531,Daytona Beach,Florida
532,Roland,Arkansas
533,Fall River,Massachusetts
534,Somerville,Alabama
535,Lake Wales,Florida
536,Fort Walton Beach,Florida
537,Lecanto,Florida
538,Phenix City,Alabama
539,Erie,Pennsylvania
540,Clinton,Maine
541,North Miami Beach,Florida
542,Colonie,New York
543,Clinton,Massachusetts
544,Sarasota,Florida
545,Miami Beach,Florida
546,Charleston,South Carolina
547,Albany,Georgia
548,Nevada,Missouri
549,Oakland,Mississippi
550,Missoula,Montana
551,Munford,Tennessee
552,Park Ridge,Illinois
553,Muhlenberg County,Kentucky
554,Pink Hill,North Carolina
555,Ropesville,Texas
556,Covington,Louisiana
557,Hillsboro,Oregon
558,Montgomery,Minnesota
559,Mobile,Alabama
560,Uniontown,Ohio
561,Bossier,Louisiana
562,Lady Lake,Florida
563,Cusseta,Alabama
564,Hanover,Maryland
565,Antioch,Tennessee
566,Northwoods,Missouri
567,Newburgh,New York
568,Ravalli County,Montana
569,Conway,South Carolina
570,Champaign,Illinois
571,Vancouver,Washington
572,Lenoir,North Carolina
573,Littleton,New Hampshire
574,Bound Brook,New Jersey
575,Harrison County,West Virginia
576,Pine Island,Minnesota
577,Halifax County,North Carolina
578,Santa Ana,California
579,Port Royal,South Carolina
580,Boston,Massachusetts
581,Pembroke Pines,Florida
582,Saint George,Utah
583,Norwich,New York
584,Bossier City,Louisiana
585,Conway,North Carolina
586,Evergreen,Montana
587,Myrtle Beach,South Carolina
588,Fond Du Lac,Wisconsin
589,Muscatine,Iowa
590,Pocatello,Idaho
591,Inola,Oklahoma
592,Burwell,Nebraska
593,Loudoun (county),Virginia
594,Ferrum,Virginia
595,Lynchburg,Virginia
596,Taylor County,Kentucky
597,Rochester,New Hampshire
598,Park County,Wyoming
599,Blountville,Tennessee
600,Kinston,North Carolina
601,Lake Ronkonkoma,New York
602,Torrance County,New Mexico
603,Bexley,Ohio
604,Gatesville,Texas
605,Roosevelt,Washington
606,Chinquapin,North Carolina
607,Largo,Florida
608,Shirley,New York
609,Forest Acres,South Carolina
610,Fargo,North Dakota
611,Mckinleyville,California
612,Coloma,Michigan
613,Taylor,Michigan
614,Williston,North Dakota
615,Jefferson Parish,Louisiana
616,Corvallis,Oregon
617,Inglewood,California
618,Hanover,Virginia
619,Ronkonkoma (Lake Ronkonkoma),New York
620,Bradenton,Florida
621,South Pasadena,California
622,Frankfort,Kentucky
623,Clayton County,Georgia
624,Leesburg,Florida
625,Athens,Alabama
626,Laconia,New Hampshire
627,Kingston,Pennsylvania
628,Lizella,Georgia
629,Dane County,Wisconsin
630,Eureka,California
631,Yuma,Arizona
632,Fayetteville,North Carolina
633,Munhall,Pennsylvania
634,Richmond County,Georgia
635,Dunlap,California
636,Freehold,New Jersey
637,Grand Forks,North Dakota
638,Canoga Park,California
639,Anniston,Alabama
640,Copperas Cove,Texas
641,Villa Rica,Georgia
642,Hope Mills,North Carolina
643,Zeigler,Illinois
644,Lockport,New York
645,Freeport,Texas
646,Lone Wolf,Oklahoma
647,Bear,Delaware
648,Joshua Tree,California
649,Xenia,Ohio
650,Bowling Green,Ohio
651,Navassa,North Carolina
652,Crockett,Texas
653,San Carlos,California
654,Fitchburg,Massachusetts
655,Lamar,Colorado
656,Bangor,Maine
657,Fort Atkinson,Wisconsin
658,Stroud,Oklahoma
659,Little Valley,New York
660,Malad,Idaho
661,Jefferson,Texas
662,Richland Hills,Texas
663,Calhoun,Alabama
664,Parsons,Kansas
665,Langsville,Ohio
666,Corona,California
667,Dyersburg,Tennessee
668,Prichard,Alabama
669,Larksville,Pennsylvania
670,Moorestown,New Jersey
671,Homestead,Pennsylvania
672,Davenport,Iowa
673,Fairview,Tennessee
674,Aransas Pass,Texas
675,Monterey Park,California
676,Encino,California
677,Azusa,California
678,Nashua,New Hampshire
679,Amherst,New York
680,Natchitoches,Louisiana
681,North English,Iowa
682,Mesquite,Texas
683,Ames,Iowa
684,Maurepas,Louisiana
685,Franklinton,Louisiana
686,Wiscasset,Maine
687,Worcester County,Maryland
688,Van Nuys,California
689,Hollywood,Maryland
690,Manatee,Florida
691,Rocky Hill,Connecticut
692,Pasadena,Texas
693,Goldsboro,North Carolina
694,Santa Rosa,California
695,Odessa,Texas
696,Brandywine,Maryland
697,West Carrollton,Ohio
698,Corinth,Mississippi
699,Lafayette Parish,Louisiana
700,Lake Charles,Louisiana
701,Richland County,South Carolina
702,Columbia County,Florida
703,Windsor,North Carolina
704,Albertville,Alabama
705,Elizabeth,New Jersey
706,Frederick,Maryland
707,Southfield,Michigan
708,Urbana,Illinois
709,Pasadena,California
710,San Juan,Texas
711,Grandview,Missouri
712,West St Paul,Minnesota
713,Orangeburg County,South Carolina
714,Dearborn Heights,Michigan
715,Wickliffe,Ohio
716,Carson City,Nevada
717,Scranton,Pennsylvania
718,Jonesboro,Arkansas
719,Limestone County,Alabama
720,Carter County,Tennessee
721,Lulu,Florida
722,Dougherty County,Georgia
723,Aurora,Illinois
724,Racine,Wisconsin
725,Paw Paw,Michigan
726,Cedar City,Utah
727,Fort Lauderdale,Florida
728,La Crosse,Wisconsin
729,Woburn,Massachusetts
730,Magnolia,Delaware
731,Newark,Delaware
732,Menlo Park,California
733,Perrysburg,Ohio
734,Lewisville,Texas
735,Wittman,Arizona
736,Prescott,Arizona
737,Warren,Michigan
738,Riverside,California
739,Aiken,South Carolina
740,Freedom,New York
741,Presque Isle,Maine
742,Gulfport,Mississippi
743,Collins,Mississippi
744,Rome,Georgia
745,Saint Paul (West Saint Paul),Minnesota
746,Pottstown,Pennsylvania
747,Collier,Florida
748,Clarkton,North Carolina
749,Oroville,California
750,Concord,California
751,Hollywood ,California
752,Bay,Florida
753,Highland,California
754,Beavercreek,Ohio
755,New Westville,Ohio
756,Brazos County,Texas
757,Evansville,Indiana
758,Madison,Wisconsin
759,Mccall,Idaho
760,Lombard,Illinois
761,Riverside County,California
762,Tyler,Texas
763,South Milwaukee,Wisconsin
764,Union City,California
765,Pittsburgh,Pennsylvania
766,Pennsauken,New Jersey
767,Clarksville,Tennessee
768,Henrico County,Virginia
769,Arlington,Virginia
770,Alexandria,Virginia
771,Millbrae,California
772,Garden City,Georgia
773,Jurupa Valley,California
774,York,South Carolina
775,Dundalk,Maryland
776,Trinidad,California
777,Eastpointe,Michigan
778,Boca Raton,Florida
779,York County,Virginia
780,Fillmore,California
781,Parlier,California
782,Bono,Arkansas
783,Sullivan County,Tennessee
784,Yonkers,New York
785,Wake County,North Carolina
786,San Angelo,Texas
787,Coalinga,California
788,Great Kills,New York
789,Reno County,Kansas
790,Beaverton,Oregon
791,Muscle Shoals,Alabama
792,Brownsville,Texas
793,Collegedale,Tennessee
794,Duncannon,Pennsylvania
795,Forest Park,Illinois
796,Reserve,Louisiana
797,Orange,Florida
798,Oracle,Arizona
799,Willingboro,New Jersey
800,Jonesboro,Georgia
801,Middlesex,North Carolina
802,Painesville,Ohio
803,Strongsville,Ohio
804,Mason,Ohio
805,Overton,Texas
806,Reading,Pennsylvania
807,Lincoln,Maine
808,Plainfield,Connecticut
809,Newfane,New York
810,Millersville,Maryland
811,Lafollette,Tennessee
812,Methuen,Massachusetts
813,Eaton,Indiana
814,Warminster,Pennsylvania
815,Cleveland Heights,Ohio
816,Norwood,Ohio
817,Chilton County,Alabama
818,Columbia,Pennsylvania
819,Scranton,Arkansas
820,Chesterfield,Virginia
821,Mckinney,Texas
822,Maryville,Tennessee
823,Winnsboro,South Carolina
824,Elizabethton,Tennessee
825,Saint Charles,Kentucky
826,Tallulah,Louisiana
827,Miami-Dade,Florida
828,Blount,Alabama
829,Woodlawn,Maryland
830,Dalton,Georgia
831,Cade,Louisiana
832,Windham,New Hampshire
833,Delano,California
834,Elgin,Illinois
835,Fontaine,Arkansas
836,Tamarac,Florida
837,North Augusta,South Carolina
838,Black Mountain,North Carolina
839,Chula Vista,California
840,Winnebago County,Illinois
841,Farmerville,Louisiana
842,New Madison,Ohio
843,Tallapoosa,Alabama
844,Sanford,Florida
845,Burlington City,New Jersey
846,Bowling Green,Kentucky
847,Hamilton,Alabama
848,Wayne,Pennsylvania
849,Lauderdale Lakes,Florida
850,Kula,Hawaii
851,Kalispell,Montana
852,Tomah,Wisconsin
853,Fort Smith,Arkansas
854,Charleston County,South Carolina
855,Selma,Alabama
856,Hawkins County,Tennessee
857,Scottsdale,Arizona
858,Ohio County,Kentucky
859,Collingdale,Pennsylvania
860,Victorville,California
861,Franklin Township,New Jersey
862,Reno,Nevada
863,Andalusia,Alabama
864,Westwego (Avondale),Louisiana
865,Irving,Texas
866,Stroudsburg,Pennsylvania
867,Claiborne,Mississippi
868,Winton,California
869,North Little Rock,Arkansas
870,Felton,Delaware
871,Lewiston,Maine
872,Ayden,North Carolina
873,Washington Township,Ohio
874,Springfield,Tennessee
875,Berlin,Vermont
876,James Island,South Carolina
877,Freeburn,Kentucky
878,Cordova,Tennessee
879,Searcy,Arkansas
880,Bloomington,Illinois
881,Marion,Alabama
882,Vandalia,Ohio
883,New Salem,Pennsylvania
884,Central Point,Oregon
885,New Milford,Pennsylvania
886,Mesa,California
887,Texarkana,Texas
888,Winter Haven,Florida
889,Chevy Chase,Maryland
890,York,Virginia
891,Wheatfield,New York
892,Burlington,North Carolina
893,Somerville,New Jersey
894,Abbeville,Louisiana
895,Marion,Montana
896,Bartlett,Tennessee
897,Lehillier,Minnesota
898,Guntersville,Alabama
899,Wesley Chapel,Florida
900,Wayne County,North Carolina
901,Katy,Texas
902,Cross Lanes,West Virginia
903,Raeford,North Carolina
904,Swissvale,Pennsylvania
905,Hoke County,North Carolina
906,East Palo Alto,California
907,Middletown,Ohio
908,Joplin,Missouri
909,Fremont,California
910,Lake Worth,Florida
911,Danville,Illinois
912,Steuben County,Indiana
913,Arlington,Texas
914,Conyers,Georgia
915,Hartselle,Alabama
916,Attleboro,Massachusetts
917,Peoria,Illinois
918,Woodstock,Georgia
919,Kane County,Illinois
920,Milton,Vermont
921,White Settlement,Texas
922,Bellport,New York
923,New Bedford,Massachusetts
924,Casco,Maine
925,East Price Hill,Ohio
926,Lakeland,Florida
927,Fort Pierce,Florida
928,Big Pine Key,Florida
929,New Britain,Connecticut
930,Lake Park,Florida
931,Bainbridge,Ohio
932,Hickory Hill,Tennessee
933,Syracuse,Utah
934,Bay City,Michigan
935,Mesa,Arizona
936,Swansea,South Carolina
937,East Alton,Illinois
938,Beach Park,Illinois
939,Montebello,California
940,Horace,North Dakota
941,Shasta County,California
942,Omaha (Ralston),Nebraska
943,Saint James,Louisiana
944,Parker (county),Texas
945,Fleming Island,Florida
946,Aberdeen,Mississippi
947,Mankato,Minnesota
948,Gautier,Mississippi
949,Roswell,New Mexico
950,Millsboro,Delaware
951,Cincinnati (Lincoln Heights),Ohio
952,Bethlehem,New York
953,Floyd County,Kentucky
954,Mcminn County,Tennessee
955,Vienna,West Virginia
956,London,Ohio
957,Milpitas,California
958,Edmond,Oklahoma
959,Phelan,California
960,Eloy,Arizona
961,Amherst,Virginia
962,Eau Claire,Wisconsin
963,Ludington,Michigan
964,Jeannette,Pennsylvania
965,Clay,New York
966,Frankfort,Indiana
967,Hyattsville,Maryland
968,Kettering,Ohio
969,Talladega,Alabama
970,Warren,Mississippi
971,Philadelphia,New York
972,Morning View,Kentucky
973,Freedom,California
974,Oil City,Louisiana
975,Unity Township,Ohio
976,Collier County,Florida
977,Flathead County,Montana
978,Connellsville,Pennsylvania
979,Dorchester,Massachusetts
980,Fairfield,Alabama
981,Pawtucket,Rhode Island
982,Haverhill,Massachusetts
983,Hernando,Florida
984,Reynoldsburg,Ohio
985,Baker City,Oregon
986,Wheeling,West Virginia
987,Pittsburgh (Crafton),Pennsylvania
988,Richfield,Wisconsin
989,Great Bend,Kansas
990,North Olmsted,Ohio
991,Portage,Indiana
992,Franklin County,Ohio
993,East Freedom,Pennsylvania
994,Clifton Township,Pennsylvania
995,Bishop,Texas
996,Desert Hot Springs,California
997,Mims,Florida
998,Grand Blanc,Michigan
999,Irmo,South Carolina
1000,Forrest City,Arkansas
1001,Dahlgren,Virginia
1002,Elkhart,Indiana
1003,Auburn,Massachusetts
1004,Dubois County,Indiana
1005,Atkinson,North Carolina
1006,Spring Branch,Texas
1007,Belleville,Illinois
1008,Mamou,Louisiana
1009,Maple Shade,New Jersey
1010,Houston County,Georgia
1011,Texarkana,Arkansas
1012,Richmond,Indiana
1013,Ladysmith,Wisconsin
1014,Denham Springs,Louisiana
1015,San Patricio County,Texas
1016,Bluffton,South Carolina
1017,Marlborough,New York
1018,Englewood,New Jersey
1019,Austin,Minnesota
1020,Granger,Indiana
1021,Wilmer,Alabama
1022,Lyndhurst,New Jersey
1023,Hammond,Indiana
1024,Buckley,Washington
1025,Ludlow,Massachusetts
1026,Panama City Beach,Florida
1027,Hamilton,Ohio
1028,Elkhart,Texas
1029,Bradford,Vermont
1030,Wayland,Kentucky
1031,Grimesland,North Carolina
1032,Sunnyvale,Texas
1033,Savannah,Tennessee
1034,Wattsburg,Pennsylvania
1035,Litchfield Park,Arizona
1036,Delran,New Jersey
1037,Pensacola,Florida
1038,Edcouch,Texas
1039,Orrville,Alabama
1040,Plains Township,Pennsylvania
1041,Paxton,Illinois
1042,Tallahassee,Florida
1043,Alton,Illinois
1044,Ardmore,Oklahoma
1045,Robeson County,North Carolina
1046,Dekalb County,Georgia
1047,Alamo,Texas
1048,Norwalk,California
1049,Deer Park,New York
1050,Romulus,Michigan
1051,Riverview,Florida
1052,Spanish Fork,Utah
1053,Spring,Texas
1054,Middlesex,Virginia
1055,Blackman,Tennessee
1056,Plano,Texas
1057,Boone,North Carolina
1058,Roscommon Township,Michigan
1059,Jennings,Louisiana
1060,Greenville,South Carolina
1061,Rutland,Vermont
1062,Morgan County,Alabama
1063,Brick,New Jersey
1064,Kerrville,Texas
1065,San Jacinto,California
1066,Brown Deer,Wisconsin
1067,Ponca City,Oklahoma
1068,Martinsville,Virginia
1069,Lincoln,Nebraska
1070,Lake Elsinore,California
1071,Pemberton Township,New Jersey
1072,Ormond Beach,Florida
1073,Garland,Texas
1074,West Odessa,Texas
1075,Ansonia,Connecticut
